"","station","date","time","vol_flow_est","vol_depth_est","prop_total_sample","sf_proc","prop_sf_proc","genus","species","stage","sex","id","ind_counted","ind_total","abund_m3_flow_est","abund_m3_depth_est","notes","year","yearletter","StationYear"
"1","1",2019-02-19,1899-12-31 09:30:00,42.4,49.09,1,"5-10",1,NA,NA,NA,NA,"Chaetognath sp. (no heads)",36,36,0.849056603773585,0.733346913831738,NA,"2019","A","A 1"
"2","1",2019-02-19,1899-12-31 09:30:00,42.4,49.09,1,"5-10",1,"Clione","limacina",NA,NA,"Clione limacina",1,1,0.0235849056603774,0.0203707476064372,NA,"2019","A","A 1"
"3","1",2019-02-19,1899-12-31 09:30:00,42.4,49.09,1,"5-10",1,"Eucalanus","bungii","C6","M","Eucalanus bungii",1,1,0.0235849056603774,0.0203707476064372,NA,"2019","A","A 1"
"4","1",2019-02-19,1899-12-31 09:30:00,42.4,49.09,1,"5-10",1,"Eukrohnia","hamata",NA,NA,"Eukrohnia hamata",5,5,0.117924528301887,0.101853738032186,NA,"2019","A","A 1"
"5","1",2019-02-19,1899-12-31 09:30:00,42.4,49.09,1,"5-10",1,"Neocalanus","cristatus","C4",NA,"Neocalanus cristatus",1,1,0.0235849056603774,0.0203707476064372,NA,"2019","A","A 1"
"6","1",2019-02-19,1899-12-31 09:30:00,42.4,49.09,1,"5-10",1,"Neocalanus","cristatus","C5",NA,"Neocalanus cristatus",1,1,0.0235849056603774,0.0203707476064372,NA,"2019","A","A 1"
"7","1",2019-02-19,1899-12-31 09:30:00,42.4,49.09,1,"5-10",1,"Parasagitta","elegans",NA,NA,"Parasagitta elegans",69,69,1.62735849056604,1.40558158484416,NA,"2019","A","A 1"
"8","1",2019-02-19,1899-12-31 09:30:00,42.4,49.09,1,"<5",0.0625,"Acartia","longiremis","C6","F","Acartia longiremis",4,64,1.50943396226415,1.30372784681198,NA,"2019","A","A 1"
"9","1",2019-02-19,1899-12-31 09:30:00,42.4,49.09,1,"<5",0.0625,"Acartia","longiremis","C6","M","Acartia longiremis",1,16,0.377358490566038,0.325931961702994,NA,"2019","A","A 1"
"10","1",2019-02-19,1899-12-31 09:30:00,42.4,49.09,1,"<5",0.0625,"Calanus",NA,"C1",NA,"Calanus sp.",1,16,0.377358490566038,0.325931961702994,NA,"2019","A","A 1"
