eventID,eventDate,year,month,day,decimalLatitude,decimalLongitude,maximumDepthInMeters,sampleSizeValue,samplingEffort,sampleSizeUnit,fieldNotes,minimumDepthInMeters,footprintWKT,coordinateUncertaintyInMeters,geodeticDatum,language,modified,bibliographicCitation,datasetID,license,informationWithheld,institutionID,institutionCode
IYS2019-Kaganovsky-1-Bongo-1,2019-02-18T21:30:00Z,2019,2,18,48.301166666666667,-128.52266666666668,250,42.422700777700776,volume sewater filtered,cubic meters,Flowmeter start for net 1 and 2 were switched in the logsheet,0,POINT  ( -128.52266666666668   48.301166666666667 ),0,WGS84,en,2023-12-07,"Hunt, B., Mahara, N., & Pakhomov, E. (2023). Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/7cmt-ca72",https://doi.org/10.21966/7cmt-ca72,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass.",https://edmo.seadatanet.org/report/2220,UBC-EOAS
IYS2019-Kaganovsky-2-Bongo-1,2019-02-19T07:05:00Z,2019,2,19,48.18333333333333,-129.91666666666666,250,41.858400804650806,volume sewater filtered,cubic meters,,0,POINT  ( -129.91666666666666   48.18333333333333 ),0,WGS84,en,2023-12-07,"Hunt, B., Mahara, N., & Pakhomov, E. (2023). Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/7cmt-ca72",https://doi.org/10.21966/7cmt-ca72,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass.",https://edmo.seadatanet.org/report/2220,UBC-EOAS
IYS2019-Kaganovsky-3-Bongo-1,2019-02-21T08:21:00Z,2019,2,21,47.666666666666664,-136.99666666666667,250,44.374018441518444,volume sewater filtered,cubic meters,(1x Aequoria 44mm put in formalin jar),0,POINT  ( -136.99666666666667   47.666666666666664 ),0,WGS84,en,2023-12-07,"Hunt, B., Mahara, N., & Pakhomov, E. (2023). Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/7cmt-ca72",https://doi.org/10.21966/7cmt-ca72,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass.",https://edmo.seadatanet.org/report/2220,UBC-EOAS
IYS2019-Kaganovsky-4-Bongo-1,2019-02-21T18:30:00Z,2019,2,21,47.661666666666669,-138.5,250,45.027973550473554,volume sewater filtered,cubic meters,,0,POINT  ( -138.5   47.661666666666669 ),0,WGS84,en,2023-12-07,"Hunt, B., Mahara, N., & Pakhomov, E. (2023). Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/7cmt-ca72",https://doi.org/10.21966/7cmt-ca72,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass.",https://edmo.seadatanet.org/report/2220,UBC-EOAS
IYS2019-Kaganovsky-5-Bongo-1,2019-02-22T07:00:00Z,2019,2,22,47.666666666666664,-140,250,43.076655886655885,volume sewater filtered,cubic meters,,0,POINT  ( -140   47.666666666666664 ),0,WGS84,en,2023-12-07,"Hunt, B., Mahara, N., & Pakhomov, E. (2023). Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/7cmt-ca72",https://doi.org/10.21966/7cmt-ca72,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass.",https://edmo.seadatanet.org/report/2220,UBC-EOAS
IYS2019-Kaganovsky-6-Bongo-1,2019-02-22T18:00:00Z,2019,2,22,47.666166666666669,-141.49850000000001,250,43.87827827827828,volume sewater filtered,cubic meters,,0,POINT  ( -141.49850000000001   47.666166666666669 ),0,WGS84,en,2023-12-07,"Hunt, B., Mahara, N., & Pakhomov, E. (2023). Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/7cmt-ca72",https://doi.org/10.21966/7cmt-ca72,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass.",https://edmo.seadatanet.org/report/2220,UBC-EOAS
IYS2019-Kaganovsky-7-Bongo-1,2019-02-23T03:20:00Z,2019,2,23,47.666666666666664,-143,250,43.841361457611455,volume sewater filtered,cubic meters,,0,POINT  ( -143   47.666666666666664 ),0,WGS84,en,2023-12-07,"Hunt, B., Mahara, N., & Pakhomov, E. (2023). Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/7cmt-ca72",https://doi.org/10.21966/7cmt-ca72,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass.",https://edmo.seadatanet.org/report/2220,UBC-EOAS
IYS2019-Kaganovsky-8-Bongo-1,2019-02-23T11:45:00Z,2019,2,23,47.670166666666667,-144.49549999999999,250,47.010934203434211,volume sewater filtered,cubic meters,,0,POINT  ( -144.49549999999999   47.670166666666667 ),0,WGS84,en,2023-12-07,"Hunt, B., Mahara, N., & Pakhomov, E. (2023). Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/7cmt-ca72",https://doi.org/10.21966/7cmt-ca72,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass.",https://edmo.seadatanet.org/report/2220,UBC-EOAS
IYS2019-Kaganovsky-9-Bongo-1,2019-02-23T20:15:00Z,2019,2,23,47.666166666666669,-145.86566666666667,250,47.881116404866404,volume sewater filtered,cubic meters,,0,POINT  ( -145.86566666666667   47.666166666666669 ),0,WGS84,en,2023-12-07,"Hunt, B., Mahara, N., & Pakhomov, E. (2023). Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/7cmt-ca72",https://doi.org/10.21966/7cmt-ca72,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass.",https://edmo.seadatanet.org/report/2220,UBC-EOAS
IYS2019-Kaganovsky-10-Bongo-1,2019-02-24T04:50:00Z,2019,2,24,47.666666666666664,-147.5,250,44.105053033803031,volume sewater filtered,cubic meters,Salps removed from this sample and frozen separately in petri dishes,0,POINT  ( -147.5   47.666666666666664 ),0,WGS84,en,2023-12-07,"Hunt, B., Mahara, N., & Pakhomov, E. (2023). Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/7cmt-ca72",https://doi.org/10.21966/7cmt-ca72,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass.",https://edmo.seadatanet.org/report/2220,UBC-EOAS
