eventID,verbatimIdentification,scientificName,scientificNameID,scientificNameAuthorship,lifeStage,sex,taxonRank,taxonomicStatus,identificationQualifier,kingdom,phylum,class,order,family,genus,identificationRemarks,previousIdentifications,specificEpithet,occurrenceID,occurrenceStatus,basisOfRecord
IYS2019-Kaganovsky-1-Bongo-1,Acartia longiremis,"Acartia longiremis (Lilljeborg, 1853)",urn:lsid:marinespecies.org:taxname:104257,"Lilljeborg, 1853",C6,F,Species,alternate representation,,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,,,longiremis,IYS2019-Kaganovsky-1-Bongo-1-1,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Acartia longiremis,"Acartia longiremis (Lilljeborg, 1853)",urn:lsid:marinespecies.org:taxname:104257,"Lilljeborg, 1853",C6,M,Species,alternate representation,,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,,,longiremis,IYS2019-Kaganovsky-1-Bongo-1-2,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Neocalanus+Calanus C1-C3,"Calanidae (Dana, 1849)",urn:lsid:marinespecies.org:taxname:104079,"Dana, 1849",C1,,Family,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,,,,,IYS2019-Kaganovsky-1-Bongo-1-3,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Neocalanus+Calanus C1-C3,"Calanidae (Dana, 1849)",urn:lsid:marinespecies.org:taxname:104079,"Dana, 1849",C2,,Family,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,,,,,IYS2019-Kaganovsky-1-Bongo-1-4,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Calocalanus styliremis,"Calocalanus styliremis (Giesbrecht, 1888)",urn:lsid:marinespecies.org:taxname:104673,"Giesbrecht, 1888",C5,,Species,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus,,,styliremis,IYS2019-Kaganovsky-1-Bongo-1-5,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Candacia sp.,"Candacia (Dana, 1846)",urn:lsid:marinespecies.org:taxname:104157,"Dana, 1846",C1,,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Candaciidae,Candacia,"Taxonomist suspects that the individuals are all a single species, but unsure which species.",,,IYS2019-Kaganovsky-1-Bongo-1-6,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Chaetognath,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,,juvenile,,Phylum,accepted,,Animalia,Chaetognatha,,,,,,,,IYS2019-Kaganovsky-1-Bongo-1-7,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Chaetognath sp. (no heads),Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,,,,Phylum,accepted,sp. indet.,Animalia,Chaetognatha,,,,,"Taxonomist suspects that the individuals are all a single species, but unsure which species.",,,IYS2019-Kaganovsky-1-Bongo-1-8,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Clausocalanus parapergens,"Clausocalanus parapergens (Frost & Fleminger, 1968)",urn:lsid:marinespecies.org:taxname:104507,"Frost & Fleminger, 1968",C6,F,Species,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,,,parapergens,IYS2019-Kaganovsky-1-Bongo-1-9,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Clausocalanus sp.,"Clausocalanus (Giesbrecht, 1888)",urn:lsid:marinespecies.org:taxname:104161,"Giesbrecht, 1888",C4,,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,"Taxonomist suspects that the individuals are all a single species, but unsure which species.",,,IYS2019-Kaganovsky-1-Bongo-1-10,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Clausocalanus sp.,"Clausocalanus (Giesbrecht, 1888)",urn:lsid:marinespecies.org:taxname:104161,"Giesbrecht, 1888",C5,,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,"Taxonomist suspects that the individuals are all a single species, but unsure which species.",,,IYS2019-Kaganovsky-1-Bongo-1-11,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Clione limacina,"Clione limacina (Phipps, 1774)",urn:lsid:marinespecies.org:taxname:139178,"Phipps, 1774",,,Species,accepted,,Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,,,limacina,IYS2019-Kaganovsky-1-Bongo-1-12,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Disconchoecia elegans,"Discoconchoecia elegans (Sars, 1866)",urn:lsid:marinespecies.org:taxname:127782,"Sars, 1866",,,Species,accepted,,Animalia,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Discoconchoecia,,,elegans,IYS2019-Kaganovsky-1-Bongo-1-13,present,PreservedSpecimen
