eventID,specificEpithet,scientificName,scientificNameID,scientificAuthorityName,lifeStage,sex,taxonRank,taxonomicStatus,identificationQualifier,kingdom,phylum,class,order,family,genus,occurrenceID,occurrenceStatus,preservation
IYS2019-Kaganovsky-1-1,NA,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,NA,NA,NA,Phylum,accepted,sp. indet.,Animalia,Chaetognatha,NA,NA,NA,NA,IYS2019-Kaganovsky-1-1-zoop_occ-1,present,formalin
IYS2019-Kaganovsky-1-1,limacina,Clione limacina,urn:lsid:marinespecies.org:taxname:139178,"(Phipps, 1774)",NA,NA,Species,accepted,NA,Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,IYS2019-Kaganovsky-1-1-zoop_occ-2,present,formalin
IYS2019-Kaganovsky-1-1,bungii,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,"Giesbrecht, 1893",C6,M,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,IYS2019-Kaganovsky-1-1-zoop_occ-3,present,formalin
IYS2019-Kaganovsky-1-1,hamata,Eukrohnia hamata,urn:lsid:marinespecies.org:taxname:105416,"(Möbius, 1875)",NA,NA,Species,accepted,NA,Animalia,Chaetognatha,Sagittoidea,Phragmophora,Eukrohniidae,Eukrohnia,IYS2019-Kaganovsky-1-1-zoop_occ-4,present,formalin
IYS2019-Kaganovsky-1-1,cristatus,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",C4,NA,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,IYS2019-Kaganovsky-1-1-zoop_occ-5,present,formalin
IYS2019-Kaganovsky-1-1,cristatus,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",C5,NA,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,IYS2019-Kaganovsky-1-1-zoop_occ-6,present,formalin
IYS2019-Kaganovsky-1-1,elegans,Parasagitta elegans,urn:lsid:marinespecies.org:taxname:105440,"(Verrill, 1873)",NA,NA,Species,accepted,NA,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Parasagitta,IYS2019-Kaganovsky-1-1-zoop_occ-7,present,formalin
IYS2019-Kaganovsky-1-1,longiremis,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,"(Lilljeborg, 1853)",C6,F,Species,alternate representation,NA,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,IYS2019-Kaganovsky-1-1-zoop_occ-8,present,formalin
IYS2019-Kaganovsky-1-1,longiremis,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,"(Lilljeborg, 1853)",C6,M,Species,alternate representation,NA,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,IYS2019-Kaganovsky-1-1-zoop_occ-9,present,formalin
IYS2019-Kaganovsky-1-1,NA,Calanus,urn:lsid:marinespecies.org:taxname:104152,"Leach, 1816",C1,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,IYS2019-Kaganovsky-1-1-zoop_occ-10,present,formalin
