eventID,lifeStage,sex,scientificName,scientificNameID,identificationQualifier,kingdom,phylum,class,order,family,genus,scientificNameAuthorship,taxonRank,taxonomicStatus,occurrenceRemarks,occurrenceID,occurrenceStatus,preparations,vernacularName,specificEpithet,reproductiveCondition,basisOfRecord
IYS:GoA2020:StnP PRIME:bongo:Net1,NA,NA,Aglantha digitale,urn:lsid:marinespecies.org:taxname:117849,NA,Animalia,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglantha,"(O. F. Müller, 1776)",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:1,present,Formalin,NA,digitale,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,NA,NA,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,sp. indet.,Animalia,Chaetognatha,NA,NA,NA,NA,NA,Phylum,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:2,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,NA,NA,Clione limacina,urn:lsid:marinespecies.org:taxname:139178,NA,Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,"(Phipps, 1774)",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:3,present,Formalin,NA,limacina,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C6,F,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,"Giesbrecht, 1893",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:4,present,Formalin,NA,bungii,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,NA,NA,Eukrohnia hamata,urn:lsid:marinespecies.org:taxname:105416,NA,Animalia,Chaetognatha,Sagittoidea,Phragmophora,Eukrohniidae,Eukrohnia,"(Möbius, 1875)",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:5,present,Formalin,NA,hamata,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,NA,NA,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,"Hansen, 1911",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:6,present,Formalin,NA,pacifica,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C6,F,Lophothrix frontalis,urn:lsid:marinespecies.org:taxname:104779,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Lophothrix,"Giesbrecht, 1895",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:7,present,Formalin,NA,frontalis,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C6,M,Lophothrix frontalis,urn:lsid:marinespecies.org:taxname:104779,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Lophothrix,"Giesbrecht, 1895",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:8,present,Formalin,NA,frontalis,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C4,NA,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,"(Krøyer, 1848)",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:9,present,Formalin,NA,cristatus,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C5,NA,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,"(Krøyer, 1848)",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:10,present,Formalin,NA,cristatus,NA,PreservedSpecimen
