occurrenceID,measurementType,measurementValue
IYS2019-Kaganovsky-1-Bongo-1-1,lifeStage,C6
IYS2019-Kaganovsky-1-Bongo-1-1,sex,F
IYS2019-Kaganovsky-1-Bongo-1-1,abundance,1.50943396226415
IYS2019-Kaganovsky-1-Bongo-1-2,lifeStage,C6
IYS2019-Kaganovsky-1-Bongo-1-2,sex,M
IYS2019-Kaganovsky-1-Bongo-1-2,abundance,0.377358490566038
IYS2019-Kaganovsky-1-Bongo-1-3,lifeStage,C1
IYS2019-Kaganovsky-1-Bongo-1-3,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-3,abundance,0.377358490566038
IYS2019-Kaganovsky-1-Bongo-1-4,lifeStage,C2
IYS2019-Kaganovsky-1-Bongo-1-4,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-4,abundance,1.13207547169811
IYS2019-Kaganovsky-1-Bongo-1-5,lifeStage,C5
IYS2019-Kaganovsky-1-Bongo-1-5,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-5,abundance,0.377358490566038
IYS2019-Kaganovsky-1-Bongo-1-6,lifeStage,C1
IYS2019-Kaganovsky-1-Bongo-1-6,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-6,abundance,0.377358490566038
IYS2019-Kaganovsky-1-Bongo-1-7,lifeStage,juvenile
IYS2019-Kaganovsky-1-Bongo-1-7,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-7,abundance,1.88679245283019
IYS2019-Kaganovsky-1-Bongo-1-8,lifeStage,NA
IYS2019-Kaganovsky-1-Bongo-1-8,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-8,abundance,0.849056603773585
IYS2019-Kaganovsky-1-Bongo-1-9,lifeStage,C6
IYS2019-Kaganovsky-1-Bongo-1-9,sex,F
IYS2019-Kaganovsky-1-Bongo-1-9,abundance,0.754716981132076
IYS2019-Kaganovsky-1-Bongo-1-10,lifeStage,C4
IYS2019-Kaganovsky-1-Bongo-1-10,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-10,abundance,0.754716981132076
IYS2019-Kaganovsky-1-Bongo-1-11,lifeStage,C5
IYS2019-Kaganovsky-1-Bongo-1-11,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-11,abundance,4.52830188679245
IYS2019-Kaganovsky-1-Bongo-1-12,lifeStage,NA
IYS2019-Kaganovsky-1-Bongo-1-12,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-12,abundance,0.0235849056603774
IYS2019-Kaganovsky-1-Bongo-1-13,lifeStage,NA
IYS2019-Kaganovsky-1-Bongo-1-13,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-13,abundance,0.754716981132076
IYS2019-Kaganovsky-1-Bongo-1-14,lifeStage,C4
IYS2019-Kaganovsky-1-Bongo-1-14,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-14,abundance,0.377358490566038
IYS2019-Kaganovsky-1-Bongo-1-15,lifeStage,C6
IYS2019-Kaganovsky-1-Bongo-1-15,sex,M
IYS2019-Kaganovsky-1-Bongo-1-15,abundance,0.0235849056603774
IYS2019-Kaganovsky-1-Bongo-1-16,lifeStage,NA
IYS2019-Kaganovsky-1-Bongo-1-16,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-16,abundance,0.0235849056603774
IYS2019-Kaganovsky-1-Bongo-1-17,lifeStage,NA
IYS2019-Kaganovsky-1-Bongo-1-17,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-17,abundance,0.117924528301887
IYS2019-Kaganovsky-1-Bongo-1-18,lifeStage,calyptopsis
IYS2019-Kaganovsky-1-Bongo-1-18,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-18,abundance,0.377358490566038
IYS2019-Kaganovsky-1-Bongo-1-19,lifeStage,egg
IYS2019-Kaganovsky-1-Bongo-1-19,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-19,abundance,2.64150943396226
IYS2019-Kaganovsky-1-Bongo-1-20,lifeStage,NA
IYS2019-Kaganovsky-1-Bongo-1-20,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-20,abundance,0.754716981132076
IYS2019-Kaganovsky-1-Bongo-1-21,lifeStage,C2
IYS2019-Kaganovsky-1-Bongo-1-21,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-21,abundance,0.377358490566038
